sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	Notes	Study	16S515F-806R	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate
Le11	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le12	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le13	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le14	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le15	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le16	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le17	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le18	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le19	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le20	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le21	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le22	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le23	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le24	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le25	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le26	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le27	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le28	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le29	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le30	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
